jahr,dauer,besucher_gesamt,besucher_tag,bier_preis,bier_konsum,hendl_preis,hendl_konsum
1985,16,7.1,444,3.20,54541,4.77,629520
1986,16,6.7,419,3.30,53807,3.92,698137
1987,16,6.5,406,3.37,51842,3.98,732859
1988,16,5.7,356,3.45,50951,4.19,720139
1989,16,6.2,388,3.60,51241,4.22,775674
1990,16,6.7,419,3.77,54300,4.47,750947
1991,16,6.4,400,4.21,54686,4.81,807710
1992,16,5.9,369,4.42,48888,5.11,725612
1993,16,6.5,406,4.71,51933,5.25,733517
1994,16,6.6,413,4.89,52108,5.39,663135
1995,16,6.7,419,5.15,50162,5.54,628890
1996,16,6.9,431,5.24,52622,5.45,595580
1997,16,6.4,400,5.45,55891,5.38,699562
1998,16,6.5,406,5.60,54782,5.34,603746
1999,16,6.5,406,5.80,60054,5.38,609661
2000,18,6.9,383,6.35,64591,7.85,681242
2001,16,5.5,344,6.47,48698,8.12,351705
2002,16,5.9,369,6.75,57614,8.10,459259
2003,16,6.3,394,6.75,62294,8.14,487487
2004,16,5.9,369,7.02,61163,8.28,481649
2005,17,6.1,359,7.15,61772,8.35,479610
2006,18,6.5,361,7.42,68617,8.50,494135
2007,16,6.2,388,7.85,69406,8.87,521872
2008,16,6.0,375,8.25,64922,9.06,459356
2009,16,5.7,356,8.53,66436,9.18,488137
2010,17,6.4,376,8.79,71000,9.60,505901
2011,17,6.9,406,9.09,79225,9.83,522821
2012,16,6.4,400,9.41,74025,10.07,508958
2013,16,6.4,400,9.78,77031,11.10,482361
2014,16,6.3,394,9.98,76808,10.49,509420
2015,16,5.9,369,10.27,75134,10.75,503510
2016,17,5.6,329,10.57,66231,11.00,366876
